City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Vao,-22.67,167.48,67.75,70,0,22.12,NC,1599074345
Carnarvon,-24.87,113.63,60.8,87,0,10.29,AU,1599074345
Kloulklubed,7.04,134.26,78.8,88,75,2.89,PW,1599074345
Labuhan,-6.88,112.21,76.39,85,95,10.29,ID,1599074345
Bredasdorp,-34.53,20.04,60.8,72,2,16.11,ZA,1599074345
Çan,40.03,27.05,80.6,83,58,3.36,TR,1599074346
Cherskiy,68.75,161.3,35.11,86,3,7.16,RU,1599074346
Japura,-0.32,102.35,73.65,96,100,1.72,ID,1599074346
Nouadhibou,20.93,-17.03,77.0,73,0,17.22,MR,1599074346
Maniitsoq,65.42,-52.9,45.07,64,76,6.73,GL,1599074283
Cape Town,-33.93,18.42,60.01,100,75,23.04,ZA,1599074347
Saint-Pierre,-21.34,55.48,68.0,68,6,6.93,RE,1599074347
Tasiilaq,65.61,-37.64,42.8,56,75,8.05,GL,1599074347
Norman Wells,65.28,-126.83,53.6,87,75,11.41,CA,1599074348
Voskevan,41.12,45.07,75.2,69,100,3.36,AM,1599074348
Katsuura,35.13,140.3,80.01,92,67,13.29,JP,1599074348
Dikson,73.51,80.55,41.59,84,0,11.48,RU,1599074348
New Norfolk,-42.78,147.06,50.0,71,1,1.01,AU,1599074349
Najrān,17.49,44.13,86.0,33,75,14.99,SA,1599074349
Araouane,18.9,-3.53,97.74,30,3,14.88,ML,1599074191
Ushuaia,-54.8,-68.3,39.2,67,75,0.81,AR,1599074236
Mikkeli,61.69,27.27,55.4,82,24,5.82,FI,1599074349
Vaini,-21.2,-175.2,71.6,94,75,3.36,TO,1599074349
Puchezh,56.98,43.17,56.01,66,0,10.29,RU,1599074350
Pevek,69.7,170.31,35.42,91,100,5.3,RU,1599074350
East London,-33.02,27.91,66.2,72,9,8.05,ZA,1599074350
Bluff,-46.6,168.33,43.61,76,88,11.21,NZ,1599074350
Pangnirtung,66.15,-65.71,52.38,44,5,8.7,CA,1599074351
Coyhaique,-45.58,-72.07,48.2,57,75,6.93,CL,1599074351
Southbridge,42.08,-72.03,66.0,99,100,8.34,US,1599074351
Karratha,-20.74,116.85,71.53,24,100,6.76,AU,1599074351
Broome,42.25,-75.83,73.99,88,90,12.75,US,1599074352
Rzhaksa,52.13,42.03,63.28,64,4,14.74,RU,1599074352
Prince Rupert,54.32,-130.32,55.4,93,75,2.24,CA,1599074352
Saldanha,-33.01,17.94,59.0,87,0,10.29,ZA,1599074352
Tual,-5.67,132.75,78.93,84,100,17.43,ID,1599074352
Mahébourg,-20.41,57.7,68.0,94,40,4.7,MU,1599074353
Souillac,-20.52,57.52,68.0,94,40,4.7,MU,1599074353
Clyde River,70.47,-68.59,44.6,81,75,8.05,CA,1599074353
Liuhe,42.24,125.72,62.24,95,100,4.45,CN,1599074353
Jamestown,42.1,-79.24,75.0,94,90,8.05,US,1599074191
Cidreira,-30.18,-50.21,65.35,78,0,25.3,BR,1599074354
Hasaki,35.73,140.83,79.0,100,20,6.93,JP,1599074354
Waupun,43.63,-88.73,78.8,41,1,17.22,US,1599074236
Hermanus,-34.42,19.23,62.01,78,100,10.0,ZA,1599074354
Chernyshevskiy,63.01,112.47,51.71,98,87,6.73,RU,1599074354
Tuktoyaktuk,69.45,-133.04,48.2,93,75,6.67,CA,1599074355
Ol'ga,43.74,135.29,66.96,95,100,5.41,RU,1599074355
Sur,22.57,59.53,83.43,60,0,9.89,OM,1599074355
Adrar,20.5,-10.07,101.64,21,44,3.04,MR,1599074355
Curaçá,-8.99,-39.91,88.7,27,0,19.62,BR,1599074356
Talnakh,69.49,88.4,30.2,100,40,2.17,RU,1599074356
Pāsighāt,28.07,95.33,79.07,72,100,2.17,IN,1599074356
Thompson,55.74,-97.86,55.4,62,75,14.99,CA,1599074356
Haimen,23.19,116.61,82.4,83,76,6.02,CN,1599074357
Ibrā’,22.69,58.53,84.42,46,0,6.67,OM,1599074357
Watertown,42.37,-71.18,69.01,100,90,11.41,US,1599074133
Bethel,41.37,-73.41,73.99,100,90,4.7,US,1599074357
Nālūt,30.33,10.85,84.78,38,57,25.66,LY,1599074357
Luau,-10.71,22.22,78.62,25,0,1.9,AO,1599074358
Qaanaaq,77.48,-69.36,30.81,83,0,3.91,GL,1599074358
Esperance,-33.87,121.9,42.8,93,82,12.75,AU,1599074358
Udachny,66.42,112.4,46.4,93,90,13.42,RU,1599074358
Kruisfontein,-34.0,24.73,54.46,55,0,4.12,ZA,1599074359
Tura,25.52,90.22,74.32,93,22,2.98,IN,1599074359
Hamilton,39.18,-84.53,84.99,65,40,12.75,US,1599074359
Hostotipaquillo,21.07,-104.07,79.0,67,14,1.23,MX,1599074359
Klyuchi,52.27,79.17,71.67,45,0,10.25,RU,1599074360
Borogontsy,62.67,131.17,45.75,96,3,2.04,RU,1599074360
Çanakkale Province,40.08,26.83,80.6,61,12,3.36,TR,1599074360
Westport,41.14,-73.36,77.0,94,90,6.93,US,1599074120
Airai,-8.93,125.41,58.51,78,11,3.62,TL,1599074360
Jacqueville,5.21,-4.41,77.0,88,20,8.05,CI,1599074361
Butaritari,3.07,172.79,82.0,79,0,15.57,KI,1599074361
Puerto Escondido,15.85,-97.07,85.68,64,1,7.0,MX,1599074361
Leningradskiy,69.38,178.42,34.68,93,100,5.17,RU,1599074361
Areosa,41.72,-8.86,73.0,64,0,4.7,PT,1599074361
São João da Barra,-21.64,-41.05,80.6,57,20,8.05,BR,1599074362
Contamana,-7.33,-75.02,94.06,37,98,3.06,PE,1599074362
Port Blair,11.67,92.75,82.72,79,100,11.01,IN,1599074362
San Cristobal,7.77,-72.22,87.8,55,40,6.93,VE,1599074271
Faanui,-16.48,-151.75,77.95,78,90,20.07,PF,1599074363
Castro,-24.79,-50.01,72.54,63,0,8.52,BR,1599074363
Bilma,18.69,12.92,98.28,23,16,5.57,NE,1599074363
Lompoc,34.64,-120.46,69.01,72,75,11.41,US,1599074200
Dovers,12.88,-61.18,86.0,74,20,11.3,VC,1599074364
Alice Springs,-23.7,133.88,62.6,25,0,8.05,AU,1599074364
Kosum Phisai,16.25,103.07,82.4,83,20,2.24,TH,1599074364
Camapuã,-19.53,-54.04,95.59,17,98,8.03,BR,1599074364
Wanaka,-44.7,169.15,30.99,83,94,1.01,NZ,1599074365
Poum,-20.23,164.02,68.16,70,2,11.01,NC,1599074365
Avarua,-21.21,-159.78,77.0,83,7,12.75,CK,1599074253
Maceió,-9.67,-35.74,73.4,94,90,8.05,BR,1599074176
Amalfi,6.91,-75.08,66.79,84,100,0.72,CO,1599074365
Markova,48.68,24.41,64.4,72,75,4.47,UA,1599074365
Alcañiz,41.05,-0.13,66.99,79,0,1.01,ES,1599074366
Tsybuliv,49.08,29.85,72.54,38,25,5.37,UA,1599074366
Bud,39.45,-86.18,75.0,88,90,10.29,US,1599074366
Arroyo de la Encomienda,41.61,-4.8,75.99,37,0,6.93,ES,1599074366
El Salvador,13.83,-88.92,87.8,70,40,6.93,SV,1599074366
Vanimo,-2.67,141.3,76.75,83,55,4.68,PG,1599074367
Helena,46.59,-112.04,84.2,17,1,31.09,US,1599074240
Srikakulam,18.3,83.9,81.18,83,98,0.92,IN,1599074367
Coari,-4.08,-63.14,93.65,40,98,0.36,BR,1599074361
Saint-Joseph,-21.37,55.62,68.0,68,14,6.93,RE,1599074368
Katangli,51.71,143.23,58.33,97,98,4.59,RU,1599074368
Qaqortoq,60.72,-46.03,59.0,24,20,3.36,GL,1599074368
Ginir,7.13,40.7,60.3,80,1,5.26,ET,1599074368
Bowen,-20.02,148.23,66.2,88,90,10.29,AU,1599074369
Mount Isa,-20.73,139.5,53.6,50,0,3.36,AU,1599074369
Sindor,62.86,51.89,39.83,78,5,5.01,RU,1599074369
Kumul,42.8,93.45,78.1,17,0,10.13,CN,1599074369
Witbank,-25.87,29.23,52.83,71,0,8.93,ZA,1599074370
Kashgar,39.45,75.98,80.01,93,97,5.1,CN,1599074370
Noumea,-22.28,166.46,66.2,59,90,11.41,NC,1599074370
Cukai,4.25,103.42,77.0,94,100,2.24,MY,1599074370
Blythe,33.61,-114.6,100.0,39,1,14.99,US,1599074371
Iskateley,67.68,53.15,42.75,75,82,10.27,RU,1599074371
Luba,3.46,8.55,75.2,100,75,8.05,GQ,1599074371
Jiangyou,31.77,104.72,70.0,69,2,5.19,CN,1599074371
Krasnosel'kup,65.7,82.47,45.39,80,100,7.76,RU,1599074372
Oromocto,45.84,-66.48,71.01,64,40,17.22,CA,1599074072
Tevriz,57.51,72.4,54.86,95,100,15.57,RU,1599074105
Port Elizabeth,-33.92,25.57,51.8,87,0,4.7,ZA,1599074372
Elliot Lake,46.38,-82.63,71.6,68,20,20.8,CA,1599074372
Belaya Gora,68.53,146.42,35.65,93,83,7.07,RU,1599074373
Bjørnevatn,69.67,29.98,59.0,58,100,21.92,NO,1599074373
Leshan,29.56,103.76,72.46,74,45,1.9,CN,1599074373
Tsimmerbude,54.67,20.13,62.6,93,75,6.71,RU,1599074373
Angoche,-16.23,39.91,75.18,73,72,13.13,MZ,1599074373
Tiksi,71.69,128.87,39.31,84,0,14.03,RU,1599074374
Ribeira Grande,38.52,-28.7,75.2,83,75,10.29,PT,1599074374
Mahenge,-8.68,36.72,70.12,46,97,3.65,TZ,1599074374
Florianópolis,-27.61,-48.5,72.0,77,75,13.87,BR,1599074374
Zelenoborsk,61.47,64.03,44.46,80,54,7.67,RU,1599074374
Inhambane,-23.86,35.38,66.2,72,40,4.7,MZ,1599074375
Marzuq,14.4,46.47,82.85,47,0,5.1,YE,1599074237
Lac du Bonnet,50.25,-96.06,64.99,100,100,5.99,CA,1599074375
Tagusao,9.19,117.81,79.93,80,100,3.8,PH,1599074375
Codrington,-38.27,141.97,47.5,91,0,13.91,AU,1599074375
Nemuro,43.32,145.57,60.01,95,0,10.13,JP,1599074264
Katobu,-4.94,122.53,74.84,93,48,5.44,ID,1599074376
Amantea,39.13,16.07,77.0,65,100,4.7,IT,1599074376
Povenets,62.85,34.83,51.75,75,98,5.84,RU,1599074376
Kumluca,36.37,30.29,83.35,52,0,2.04,TR,1599074377
Hithadhoo,-0.6,73.08,82.04,75,100,10.6,MV,1599074377
Harrismith,-28.27,29.13,50.72,75,0,4.27,ZA,1599074377
West Wendover,40.74,-114.07,75.2,23,1,6.93,US,1599074188
Sitka,57.05,-135.33,53.6,93,90,8.05,US,1599074377
Ambon City,-3.7,128.18,77.0,94,75,5.82,ID,1599074084
Mount Gambier,-37.83,140.77,48.2,93,75,11.41,AU,1599074378
Fallon,39.47,-118.78,80.6,15,20,3.36,US,1599074190
Bonito,-21.12,-56.48,93.4,29,7,0.76,BR,1599074378
Arraial do Cabo,-22.97,-42.03,78.8,73,20,13.87,BR,1599074378
Severo-Kuril'sk,50.68,156.12,54.36,77,100,10.07,RU,1599074379
Lorengau,-2.02,147.27,80.92,73,100,3.87,PG,1599074379
Aklavik,68.22,-135.01,48.2,100,90,3.36,CA,1599074379
Wau,7.7,28.0,71.85,95,100,6.26,SS,1599074379
Upernavik,72.79,-56.15,38.5,73,86,2.1,GL,1599074379
Mehamn,71.04,27.85,53.6,76,93,6.93,NO,1599074380
Ōdachō-ōda,35.18,132.5,83.86,71,100,24.49,JP,1599074380
Flinders,-34.58,150.86,66.0,56,1,4.0,AU,1599074380
Port Lincoln,-34.73,135.87,55.45,75,3,23.13,AU,1599074110
Saint George,37.1,-113.58,87.8,15,1,2.62,US,1599074250
Ballina,-28.87,153.57,62.6,82,25,5.82,AU,1599074380
Vila Franca do Campo,37.72,-25.43,75.2,73,75,11.41,PT,1599074381
Te Anau,-45.42,167.72,34.57,89,42,0.83,NZ,1599074381
Kaitangata,-46.28,169.85,43.0,72,93,5.01,NZ,1599074381
Berlevåg,70.86,29.09,55.4,66,100,11.41,NO,1599074381
Cairns,-16.92,145.77,68.0,88,40,8.05,AU,1599074270
Geraldton,-28.77,114.6,50.0,93,40,9.17,AU,1599074382
Sühbaatar,50.23,106.21,54.64,82,77,3.47,MN,1599074382
Naze,28.37,129.48,82.4,88,31,12.75,JP,1599074196
Kamphaeng Phet,16.48,99.52,78.1,78,98,3.47,TH,1599074382
Makkah al Mukarramah,21.43,39.83,93.67,29,62,5.35,SA,1599074383
Chui,-33.7,-53.46,57.49,97,100,17.18,UY,1599074383
Yerbogachën,61.28,108.01,50.31,95,94,7.87,RU,1599074383
Kununurra,-15.77,128.73,71.6,80,48,2.37,AU,1599074383
Lavrentiya,65.58,-171.0,40.28,77,100,9.89,RU,1599074383
Mahon,39.89,4.27,71.6,56,0,5.82,ES,1599074384
Tilichiki,60.47,166.1,43.66,76,97,2.39,RU,1599074384
Nevel'sk,46.67,141.86,57.2,100,20,6.02,RU,1599074384
Edd,13.93,41.69,91.98,53,98,4.47,ER,1599074384
Ionia,42.99,-85.07,80.6,26,1,16.11,US,1599074191
Coruripe,-10.13,-36.18,77.31,71,4,13.76,BR,1599074385
Saint-Philippe,-21.36,55.77,68.0,68,23,6.93,RE,1599074385
Baykit,61.67,96.37,47.34,87,36,6.98,RU,1599074385
Esim,4.87,-2.24,75.49,89,73,10.16,GH,1599074101
The Pas,53.83,-101.25,59.0,58,75,11.41,CA,1599074385
Stornoway,58.21,-6.39,59.0,87,76,20.8,GB,1599074386
Morón,-34.65,-58.62,53.01,99,100,8.01,AR,1599074179
Yūbari,43.04,141.96,72.0,83,75,16.11,JP,1599074386
Provideniya,64.38,-173.3,40.26,77,85,3.91,RU,1599074386
Hastings,50.86,0.57,59.0,92,100,1.01,GB,1599074386
Shelburne,44.08,-80.2,73.4,78,20,11.41,CA,1599074387
Qarqīn,37.42,66.04,71.73,21,0,2.93,AF,1599074387
Wangou,42.06,126.91,58.32,98,100,3.2,CN,1599074387
Champerico,14.3,-91.92,89.6,62,20,6.93,GT,1599074388
Kulhudhuffushi,6.62,73.07,79.75,87,100,23.49,MV,1599074388
Wellington,-41.29,174.78,46.4,61,1,18.34,NZ,1599074091
Twin Falls,42.56,-114.46,82.4,28,1,5.82,US,1599074388
Los Llanos de Aridane,28.66,-17.92,75.2,78,20,9.17,ES,1599074389
Coquimbo,-29.95,-71.34,60.8,55,0,12.75,CL,1599074246
Kindu,-2.95,25.95,74.23,82,100,3.18,CD,1599074389
Mandalgovi,45.76,106.27,54.7,49,0,5.23,MN,1599074389
Lokosovo,61.13,74.82,48.06,88,100,9.95,RU,1599074389
Santa Maria,-29.68,-53.81,77.0,65,75,12.75,BR,1599074390
Dongning,44.06,131.12,65.16,94,100,3.47,CN,1599074390
Inverell,-29.78,151.12,48.99,80,0,1.01,AU,1599074390
Samarai,-10.62,150.67,77.95,88,100,19.66,PG,1599074390
Valdez,1.25,-78.98,78.12,80,27,10.45,EC,1599074391
Deputatsky,69.3,139.9,26.24,100,53,4.32,RU,1599074391
Departamento de Maldonado,-34.67,-54.92,53.6,93,90,18.34,UY,1599074182
Kamaishi,39.27,141.88,75.22,90,100,10.96,JP,1599074391
Victor Harbor,-35.57,138.62,55.99,80,26,1.01,AU,1599074391
Vilyuysk,63.76,121.62,55.78,60,100,8.99,RU,1599074392
Henties Bay,-22.12,14.28,55.0,80,0,10.83,NA,1599074392
Satka,55.04,59.04,45.9,86,98,6.85,RU,1599074392
Perth,-31.93,115.83,57.0,81,100,9.06,AU,1599074392
Santiago del Estero,-27.8,-64.26,68.49,33,0,5.39,AR,1599074393
Sørland,67.67,12.69,55.4,87,75,8.05,NO,1599074168
São Filipe,14.9,-24.5,77.0,83,73,12.84,CV,1599074393
Taoudenni,22.68,-3.98,100.15,18,83,13.15,ML,1599074393
Igarka,67.47,86.58,46.83,76,15,6.31,RU,1599074393
Iqaluit,63.75,-68.51,42.8,87,75,24.16,CA,1599074159
Tooele,40.53,-112.3,78.8,31,1,4.7,US,1599074394
Saint Paul Harbor,57.79,-152.41,50.0,89,100,3.62,US,1599074394
Cayenne,4.93,-52.33,87.8,58,0,12.75,GF,1599074309
Yar-Sale,66.83,70.83,42.39,91,46,9.37,RU,1599074395
Honningsvåg,70.98,25.97,53.6,76,45,6.93,NO,1599074395
Okhotsk,59.38,143.3,51.22,87,84,5.08,RU,1599074395
Les Cayes,18.2,-73.75,86.61,69,80,7.29,HT,1599074395
Bogorodskoye,56.55,37.88,53.42,86,0,7.58,RU,1599074395
San Isidro,-12.12,-77.05,62.6,72,90,3.36,PE,1599074396
Moosomin,50.13,-101.67,52.09,90,100,3.8,CA,1599074396
Xai-Xai,-25.05,33.64,62.37,76,0,7.0,MZ,1599074396
Tautira,-17.73,-149.15,80.6,69,20,2.24,PF,1599074396
Lüderitz,-26.65,15.16,57.2,58,0,13.11,NA,1599074397
Fukuechō,32.69,128.84,81.86,79,100,40.11,JP,1599074397
Bartica,6.4,-58.62,77.0,94,75,11.41,GY,1599074397
Santa Cruz de Barahona,18.21,-71.1,91.4,66,40,20.8,DO,1599074397
Klaksvík,62.23,-6.59,53.6,100,92,14.99,FO,1599074397
Vytegra,61.01,36.45,49.8,81,66,5.86,RU,1599074398
Fort Nelson,58.81,-122.7,62.6,45,75,16.11,CA,1599074108
Husavik,66.04,-17.34,44.6,87,90,12.75,IS,1599074398
Gamba,-2.65,10.0,73.9,84,72,6.96,GA,1599074399
Ferkessédougou,9.6,-5.2,75.52,87,17,3.58,CI,1599074399
Itarema,-2.92,-39.92,83.5,60,0,19.15,BR,1599074399
Lebu,-37.62,-73.65,50.7,71,16,6.91,CL,1599074399
Shumskiy,54.83,99.13,53.83,84,99,4.52,RU,1599074400
Amudat,1.95,34.95,75.22,39,31,8.14,UG,1599074400
Bengkulu,-3.8,102.27,76.33,91,85,8.39,ID,1599074400
Juneau,58.3,-134.42,54.0,93,90,10.29,US,1599074105
Macapá,0.04,-51.07,93.2,56,40,9.17,BR,1599074401
Brae,60.4,-1.35,57.2,87,100,28.86,GB,1599074401
Sidi Ali,36.1,0.42,71.87,66,0,12.95,DZ,1599074401
Asău,46.43,26.4,64.99,88,100,4.36,RO,1599074401
Quesnel,53.0,-122.5,62.6,55,40,9.17,CA,1599074314
Solnechnyy,50.72,136.63,58.55,91,99,1.43,RU,1599074402
Moerai,-22.43,-151.33,73.06,84,2,16.22,PF,1599074402
Alofi,-19.06,-169.92,73.4,100,96,3.36,NU,1599074402
Northam,51.03,-4.22,62.01,95,100,13.0,GB,1599074402
Padang,-0.95,100.35,77.02,81,100,4.21,ID,1599074403
Hvolsvollur,63.75,-20.22,51.8,87,75,6.93,IS,1599074403
Elban,50.1,136.51,61.63,96,87,2.24,RU,1599074403
Coolum Beach,-26.53,153.1,55.99,97,40,5.32,AU,1599074403
Ponta do Sol,32.67,-17.1,73.0,83,40,9.17,PT,1599074403
Arona,28.1,-16.68,78.8,61,20,9.17,ES,1599074404
Warrington,53.39,-2.58,60.01,94,99,3.0,GB,1599074404
Bandarbeyla,9.49,50.81,77.47,78,29,26.22,SO,1599074404
Port Macquarie,-31.43,152.92,51.8,100,90,4.7,AU,1599074405
Tamiahua,21.27,-97.45,88.72,69,0,9.82,MX,1599074405
Solwezi,-12.17,26.39,66.09,39,0,5.66,ZM,1599074405
Kampene,-3.6,26.67,72.39,76,2,2.3,CD,1599074405
Ajdabiya,30.76,20.23,81.61,50,0,10.36,LY,1599074405
Wagga Wagga,-35.12,147.37,60.8,59,100,16.11,AU,1599074406
Seoul,37.57,126.98,71.6,100,90,18.34,KR,1599074249
Turaif,31.67,38.66,95.0,14,40,11.41,SA,1599074406
Lata,40.16,-8.33,79.0,48,0,1.99,PT,1599074406
Nantucket,41.28,-70.1,66.2,93,90,14.99,US,1599074407
Ürümqi,43.8,87.6,77.0,35,1,8.95,CN,1599074392
Longyearbyen,78.22,15.64,38.34,88,100,4.05,SJ,1599074313
Itapeva,-23.98,-48.88,75.4,60,8,9.17,BR,1599074407
Tomatlán,19.93,-105.25,89.17,59,0,7.18,MX,1599074407
Bambous Virieux,-20.34,57.76,71.01,94,40,4.7,MU,1599074407
Egvekinot,66.32,-179.17,34.41,96,100,4.63,RU,1599074408
Rocha,-34.48,-54.33,54.41,96,100,16.91,UY,1599074408
Muros,42.78,-9.06,68.0,77,0,3.0,ES,1599074408
Vakhrushev,48.98,142.97,62.98,91,41,5.17,RU,1599074408
Quelimane,-17.88,36.89,73.4,78,20,3.36,MZ,1599074409
Port Hedland,-20.32,118.57,62.6,88,88,5.82,AU,1599074409
Shimoda,34.67,138.95,75.0,96,100,6.76,JP,1599074409
Bella Union,-30.28,-57.6,55.0,95,100,11.95,UY,1599074409
Umm Kaddadah,13.6,26.69,79.83,63,100,10.65,SD,1599074410
Mossamedes,-15.2,12.15,62.47,82,0,3.83,AO,1599074410
Puerto Ayora,-0.74,-90.35,77.0,57,40,20.8,EC,1599074410
Mountain Home,43.13,-115.69,84.2,23,1,4.7,US,1599074410
Roebourne,-20.78,117.13,72.93,24,100,8.1,AU,1599074410
Colchester,51.89,0.9,60.01,82,90,9.17,GB,1599074232
Tuatapere,-46.13,167.68,40.42,80,36,5.53,NZ,1599074411
Jiwani,25.05,61.74,83.26,72,0,9.89,PK,1599074411
Makakilo City,21.35,-158.09,82.0,65,75,5.82,US,1599074411
Traverse City,44.76,-85.62,75.2,47,20,17.22,US,1599074127
Olafsvik,64.89,-23.71,47.3,76,100,26.89,IS,1599074412
Nurota,40.56,65.69,71.6,19,11,2.24,UZ,1599074412
Chapais,49.78,-74.85,57.2,93,90,4.7,CA,1599074412
Vestmannaeyjar,63.44,-20.27,51.8,87,75,6.93,IS,1599074412
Saint-Augustin,51.23,-58.65,62.55,70,95,24.36,CA,1599074412
Buala,-8.14,159.59,80.4,80,1,6.82,SB,1599074413
Ambalavao,-21.83,46.93,59.32,87,70,6.38,MG,1599074413
Meulaboh,4.14,96.13,76.93,78,100,2.89,ID,1599074413
Sola,-13.88,167.55,80.6,74,90,11.41,VU,1599074413
Baoning,25.34,110.03,75.2,88,12,4.47,CN,1599074414
Rongcheng,30.63,117.85,69.46,86,0,3.24,CN,1599074414
Ahipara,-35.17,173.17,52.02,75,13,16.93,NZ,1599074414
Bathsheba,13.22,-59.52,86.0,70,40,10.29,BB,1599074414
Salinas,36.68,-121.66,66.2,68,40,8.05,US,1599074300
Khāsh,28.22,61.22,67.62,24,0,10.02,IR,1599074415
Tynda,55.17,124.72,43.75,90,0,0.58,RU,1599074187
Cockburn Town,21.46,-71.14,87.8,70,20,19.46,TC,1599074308
Alexandria,31.22,29.96,82.4,74,0,8.05,EG,1599074402
Chulym,55.1,80.96,63.09,82,76,12.19,RU,1599074415
Hay River,60.82,-115.8,53.6,71,75,13.87,CA,1599074416
Touros,-5.2,-35.46,82.4,65,40,13.87,BR,1599074416
Köflach,47.07,15.08,60.01,82,75,3.36,AT,1599074416
Saint Anthony,45.02,-93.22,80.01,29,1,13.87,US,1599074416
Bucyrus,40.81,-82.98,78.8,65,90,10.29,US,1599074416
Malbork,54.04,19.03,60.01,93,40,4.7,PL,1599074417
Waipawa,-41.41,175.52,46.4,61,16,18.34,NZ,1599074417
Port-Cartier,50.03,-66.87,59.0,77,75,8.05,CA,1599074417
Namatanai,-3.67,152.43,79.0,78,1,4.12,PG,1599074417
Kondinskoye,59.65,67.41,48.81,74,74,14.27,RU,1599074418
Camacupa,-12.02,17.48,67.71,65,12,2.77,AO,1599074418
Laguna,38.42,-121.42,77.0,53,1,8.05,US,1599074418
Fergus Falls,46.28,-96.08,73.99,46,1,6.93,US,1599074124
Mentougou,39.94,116.09,73.99,51,0,1.01,CN,1599074418
Kudahuvadhoo,2.67,72.89,82.47,75,100,17.07,MV,1599074419
Constitución,-35.33,-72.42,55.94,62,0,13.02,CL,1599074419
Vallenar,-28.57,-70.76,73.38,21,95,5.97,CL,1599074226
Tateyama,34.98,139.87,81.0,86,94,4.0,JP,1599074419
Yaring,6.87,101.37,80.08,82,99,3.69,TH,1599074419
Río Gallegos,-51.62,-69.22,44.6,48,100,10.29,AR,1599074420
Guerrero Negro,27.98,-114.06,79.56,57,0,11.3,MX,1599074420
Bellary,15.15,76.93,79.66,75,100,6.15,IN,1599074420
Khovd,48.01,91.64,61.18,34,0,3.11,MN,1599074420
Matara,5.95,80.54,78.26,86,95,8.61,LK,1599074421
Banjar,-8.19,114.97,78.8,100,20,13.87,ID,1599074421
Hohhot,40.81,111.65,46.4,81,0,2.24,CN,1599074421
Marin,38.07,-122.73,68.0,68,90,6.93,US,1599074421
Nanortalik,60.14,-45.24,46.15,57,0,9.86,GL,1599074422
Bosaso,11.28,49.18,91.0,49,3,9.19,SO,1599074156
Avera,33.19,-82.53,93.2,56,1,5.82,US,1599074422
Wodonga,-36.12,146.88,60.8,59,100,5.82,AU,1599074422
Lang Suan,9.95,99.08,79.43,83,100,3.76,TH,1599074423
Kingori,-3.28,36.98,65.03,61,17,4.38,TZ,1599074423
Ketchikan,55.34,-131.65,55.4,93,90,6.93,US,1599074423
